PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,47270,53,code,0
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,4493,53,code,0
PID,TGID,COMMAND,SOURCE ADDRESS,DESTINATION ADDRESS,SOURCE PORT,DESTINATION PORT,LABEL,PROTOCOL
3828,3997,Socket Thread,192.168.68.129,188.92.40.100,41570,443,firefox-local-global.flashscore.ninja,6
3828,3997,Socket Thread,192.168.68.129,142.251.36.98,41202,443,firefox-googleads.g.doubleclick.net,6
3828,3997,Socket Thread,192.168.68.129,188.92.40.106,39590,443,firefox-content.livesportmedia.eu,6
3828,3997,Socket Thread,192.168.68.129,178.250.7.13,32834,443,firefox-dnacdn.net,6
3828,3997,Socket Thread,192.168.68.129,185.235.87.86,54782,443,firefox-gem.gbc.criteo.com,6
3828,3997,Socket Thread,192.168.68.129,34.111.140.246,59770,443,firefox-logx.optimizely.com,6
3828,3997,Socket Thread,192.168.68.129,178.250.7.17,55608,443,firefox-csm.fr3.eu.criteo.net,6
3828,3997,Socket Thread,192.168.68.129,188.92.40.106,42844,443,firefox-content.livesportmedia.eu,6
3828,3997,Socket Thread,192.168.68.129,185.89.210.82,42482,443,firefox-ib.adnxs.com,6
3828,3997,Socket Thread,192.168.68.129,65.9.95.83,44006,443,firefox-config.aps.amazon-adsystem.com,6
3828,3997,Socket Thread,192.168.68.129,69.173.156.139,43532,443,firefox-fastlane.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,178.250.7.10,55260,443,firefox-bidder.criteo.com,6
3828,3997,Socket Thread,192.168.68.129,147.229.2.90,50716,443,firefox-www.vut.cz,6
3828,3997,Socket Thread,192.168.68.129,69.173.144.137,34448,443,firefox-prebid-server.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,54.70.182.119,50758,443,firefox-pb-ing.ccgateway.net,6
3828,3997,Socket Thread,192.168.68.129,185.89.210.153,48252,443,firefox-ib.adnxs.com,6
3828,3997,Socket Thread,192.168.68.129,69.173.144.137,48650,443,firefox-prebid-server.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,69.173.156.139,47726,443,firefox-fastlane.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,178.250.7.10,46120,443,firefox-bidder.criteo.com,6
3828,3997,Socket Thread,192.168.68.129,142.251.36.97,41272,443,firefox-tpc.googlesyndication.com,6
3828,3997,Socket Thread,192.168.68.129,54.70.182.119,39412,443,firefox-pb-ing.ccgateway.net,6
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,41601,53,code,0
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,52193,53,code,0
3828,3997,Socket Thread,192.168.68.129,54.171.46.223,45238,443,firefox-g2.gumgum.com,6
3828,3997,Socket Thread,192.168.68.129,18.157.107.160,33912,443,firefox-krk2.kargo.com,6
3828,3997,Socket Thread,192.168.68.129,35.227.252.103,40998,443,firefox-rtb.openx.net,6
3828,3997,Socket Thread,192.168.68.129,23.20.10.163,58414,443,firefox-exchange.postrelease.com,6
3828,3997,Socket Thread,192.168.68.129,142.251.36.78,47010,443,firefox-www.youtube.com,6
3828,3997,Socket Thread,192.168.68.129,157.240.30.35,55654,443,firefox-www.facebook.com,6
3828,3997,Socket Thread,192.168.68.129,31.30.189.206,40034,443,firefox-rr3---sn-8vq54voxj1-cg9l.googlevideo.com,6
3828,3997,Socket Thread,192.168.68.129,142.251.36.138,43190,443,firefox-jnn-pa.googleapis.com,6
3828,3997,Socket Thread,192.168.68.129,147.229.2.90,33498,443,firefox-www.vut.cz,6
12427,12431,Chrome_ChildIOT,127.0.0.1,127.0.0.53,31321,53,Discord,0
12427,12431,Chrome_ChildIOT,127.0.0.1,127.0.0.53,61996,53,Discord,0
12427,12431,Chrome_ChildIOT,192.168.68.129,162.159.137.232,35005,443,Discord,0
12427,12431,Chrome_ChildIOT,127.0.0.1,127.0.0.53,65221,53,Discord,0
12427,12431,Chrome_ChildIOT,127.0.0.1,127.0.0.53,56426,53,Discord,0
12427,12431,Chrome_ChildIOT,192.168.68.129,162.159.129.233,40971,443,Discord,0
3828,3997,Socket Thread,192.168.68.129,69.173.144.137,53864,443,firefox-prebid-server.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,54.70.182.119,56320,443,firefox-pb-ing.ccgateway.net,6
3828,3997,Socket Thread,192.168.68.129,185.89.210.153,33536,443,firefox-ib.adnxs.com,6
3828,3997,Socket Thread,192.168.68.129,69.173.144.137,39180,443,firefox-prebid-server.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,69.173.156.139,47164,443,firefox-fastlane.rubiconproject.com,6
3828,3997,Socket Thread,192.168.68.129,178.250.7.10,40712,443,firefox-bidder.criteo.com,6
3828,3997,Socket Thread,192.168.68.129,142.251.36.97,37932,443,firefox-tpc.googlesyndication.com,6
3828,3997,Socket Thread,192.168.68.129,54.70.182.119,43836,443,firefox-pb-ing.ccgateway.net,6
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,60467,53,code,0
6896,6900,Chrome_ChildIOT,127.0.0.1,127.0.0.53,13775,53,code,0
3828,3997,Socket Thread,192.168.68.129,142.251.36.78,59214,443,firefox-www.youtube.com,6
6873,29019,chrome_crashpad,127.0.0.1,127.0.0.53,42360,53,chrome_crashpad_handler,0
6873,6874,chrome_crashpad,192.168.68.129,4.152.45.207,38160,443,chrome_crashpad_handler,6
